country,region,Male_2000_Population,Male_2000_CVD,Female_2000_Population,Female_2000_CVD,Male_2010_Population,Male_2010_CVD,Female_2010_Population,Female_2010_CVD,Male_2015,Female_2015,Male_2014,Female_2014,Male_2013,Female_2013,Male_2012,Female_2012,Male_2011,Female_2011,Male_2010,Female_2010,Male_2009,Female_2009,Male_2008,Female_2008,Male_2007,Female_2007,Male_2006,Female_2006,Male_2005,Female_2005,Male_2004,Female_2004,Male_2003,Male_2002,Female_2002,Male_2001,Female_2001,Male_2000,Female_2000,Male_1999,Female_1999,Male_1998,Female_1998,Male_1997,Female_1997,Male_1996,Female_1996,Male_1995,Female_1995,Male_1994,Female_1994,Male_1993,Female_1993,Male_1992,Female_1992,Male_1991,Female_1991,Male_1990,Female_1990,Male_1989,Female_1989,Male_1988,Female_1988,Male_1987,Female_1987,Male_1986,Female_1986,Male_1985,Female_1985,Male_1984,Female_1984,Male_1983,Female_1983,Male_1982,Female_1982,Male_1981,Female_1981,Male_1980,Female_1980,Male_1979,Female_1979,Male_1978,Female_1978,Male_1977,Female_1977,Male_1976,Female_1976,Male_1975,Female_1975
Algeria,Africa,15803000,759.3,15381000,724.7,18230000,713.6,17887000,685.2,127.6,124.2,127.6,124.6,127.6,124.9,127.7,125.2,127.7,125.5,127.7,125.8,127.7,126.1,127.6,126.4,127.6,126.7,127.6,127,127.6,127.2,127.6,127.5,127.5,127.5,127.9,127.5,128.1,127.5,128.2,127.5,128.4,127.5,128.5,127.5,128.7,127.5,128.8,127.5,128.9,127.5,129,127.5,129.1,127.5,129.1,127.5,129.2,127.5,129.2,127.5,129.2,127.5,129.2,127.4,129.1,127.4,129.1,127.3,129,127.3,129,127.2,128.9,127.1,128.8,127.1,128.7,127.1,128.7,127,128.6,127,128.5,127,128.5,126.9,128.4,126.9,128.3
Angola,Africa,8034000,328.2,8407000,341.3,11433000,315,11936000,323.1,130.8,128.4,130.8,128.5,130.8,128.5,130.8,128.5,130.8,128.5,130.8,128.5,130.8,128.5,130.7,128.5,130.7,128.5,130.6,128.4,130.6,128.3,130.5,128.3,130.4,130.4,128.1,130.3,128,130.3,127.9,130.3,127.8,130.2,127.7,130.2,127.7,130.2,127.6,130.1,127.5,130.1,127.4,130,127.2,130,127.1,129.9,127,129.8,126.8,129.7,126.6,129.6,126.5,129.4,126.3,129.3,126.1,129.2,125.9,129.1,125.7,129,125.6,129,125.4,128.9,125.2,128.8,125,128.7,124.9,128.6,124.7,128.5,124.5,128.5,124.3,128.4,124.1
Benin,Africa,3383000,135.8,3483000,137.7,4569000,172.2,4630000,177.4,127.8,125.5,128.1,125.7,128.4,126,128.7,126.3,128.9,126.5,129.2,126.8,129.5,127,129.7,127.2,130,127.4,130.1,127.5,130.3,127.6,130.4,127.7,130.4,130.5,127.8,130.6,127.9,130.6,127.9,130.7,127.9,130.7,127.9,130.7,127.9,130.7,127.8,130.8,127.8,130.8,127.7,130.8,127.6,130.7,127.5,130.7,127.4,130.7,127.2,130.6,127.1,130.5,126.9,130.5,126.7,130.4,126.5,130.3,126.3,130.1,126.1,130,125.8,129.9,125.6,129.7,125.3,129.5,125,129.3,124.7,129.1,124.4,128.9,124.1,128.6,123.8,128.4,123.4
Botswana,Africa,852000,27.4,876000,25.2,996000,31.1,1019000,33.6,132.4,129.3,132.4,129.4,132.4,129.5,132.3,129.6,132.3,129.7,132.2,129.8,132.2,129.9,132.2,130,132.1,130,132.1,130.1,132.1,130.1,132.1,130.2,132.1,132.2,130.3,132.2,130.3,132.2,130.3,132.2,130.4,132.2,130.4,132.2,130.4,132.2,130.3,132.1,130.3,132,130.2,131.9,130.1,131.7,129.9,131.5,129.7,131.3,129.4,131.2,129.1,131,128.8,130.8,128.4,130.6,128.1,130.4,127.7,130.3,127.4,130.1,127.1,130,126.7,129.9,126.4,129.8,126.1,129.7,125.8,129.6,125.5,129.5,125.2,129.3,124.9,129.2,124.6
Burkina Faso,Africa,5702000,207.5,5906000,210.9,7738000,254.6,7868000,287,128,125.1,128.2,125.4,128.4,125.7,128.7,126,128.9,126.2,129.1,126.4,129.2,126.6,129.4,126.8,129.5,126.9,129.6,127,129.7,127.1,129.7,127.1,129.7,129.7,127.1,129.7,127.1,129.7,127,129.7,127,129.7,126.9,129.6,126.8,129.6,126.7,129.5,126.6,129.5,126.5,129.4,126.3,129.4,126.1,129.3,125.9,129.2,125.7,129.1,125.4,129,125.2,128.8,124.9,128.7,124.6,128.5,124.3,128.3,124,128.1,123.6,127.9,123.3,127.7,123,127.5,122.6,127.3,122.3,127.1,122,126.9,121.7,126.7,121.4,126.5,121.1
Burundi,Africa,3141000,100.4,3260000,111,4305000,151.9,4462000,149.7,130.5,128.9,130.3,128.6,130.2,128.4,130,128.2,129.8,127.9,129.6,127.7,129.5,127.4,129.3,127.1,129.1,126.8,128.8,126.5,128.6,126.3,128.4,126,128.2,127.9,125.4,127.7,125.1,127.5,124.8,127.3,124.5,127.1,124.3,126.9,124,126.8,123.8,126.6,123.5,126.4,123.3,126.2,123,126.1,122.7,125.9,122.5,125.7,122.2,125.6,122,125.4,121.7,125.2,121.4,125.1,121.2,124.9,120.9,124.8,120.7,124.6,120.4,124.5,120.2,124.4,120,124.3,119.8,124.2,119.6,124.1,119.4,124,119.2,123.9,119,123.8,118.8
Cameroon,Africa,7614000,364.8,7661000,346,9985000,422.8,9985000,369.9,130.1,126.5,130.2,126.5,130.3,126.5,130.3,126.5,130.4,126.4,130.4,126.4,130.4,126.4,130.4,126.3,130.4,126.2,130.4,126.1,130.3,126,130.2,125.8,130.1,130.1,125.5,130,125.4,129.9,125.2,129.8,125.1,129.8,125,129.7,124.9,129.7,124.8,129.7,124.7,129.6,124.7,129.6,124.6,129.6,124.5,129.5,124.4,129.5,124.3,129.5,124.3,129.4,124.2,129.4,124.2,129.3,124.1,129.3,124.1,129.3,124,129.2,124,129.2,123.9,129.2,123.9,129.2,123.8,129.1,123.8,129.1,123.7,129.1,123.6,129,123.5,128.9,123.3
Central African Republic,Africa,1848000,93.7,1907000,99,2195000,109.2,2254000,112,130.9,129.4,130.9,129.3,130.9,129.3,130.9,129.2,130.9,129.2,130.8,129.1,130.8,129,130.8,128.9,130.7,128.8,130.7,128.7,130.6,128.6,130.6,128.5,130.5,130.5,128.4,130.4,128.3,130.4,128.2,130.3,128.2,130.3,128.1,130.3,128,130.3,128,130.2,127.9,130.2,127.9,130.2,127.8,130.2,127.7,130.2,127.7,130.2,127.6,130.1,127.5,130.1,127.4,130.1,127.3,130.1,127.3,130.1,127.2,130,127.1,130,127,130,126.9,129.9,126.8,129.9,126.7,129.8,126.6,129.7,126.5,129.6,126.4,129.5,126.2,129.4,126.1
Chad,Africa,4155000,202.6,4187000,169.5,5945000,269.6,5942000,249.2,130.7,129.5,130.8,129.5,130.8,129.5,130.9,129.5,131,129.5,131.1,129.4,131.1,129.4,131.2,129.4,131.2,129.3,131.2,129.2,131.2,129.1,131.1,129,131.1,131.1,128.8,131,128.6,131,128.5,130.9,128.4,130.8,128.2,130.8,128.1,130.7,128,130.7,127.8,130.6,127.6,130.6,127.5,130.5,127.3,130.4,127.1,130.3,126.9,130.3,126.8,130.2,126.6,130.1,126.4,130,126.2,129.9,126,129.8,125.8,129.7,125.6,129.5,125.4,129.4,125.1,129.2,124.9,129,124.6,128.8,124.4,128.6,124.1,128.5,123.8,128.3,123.5
Comoros,Africa,273000,12.2,270000,10.5,348000,14.3,342000,11.7,130.3,129.1,130.2,128.9,130,128.8,129.9,128.7,129.8,128.5,129.7,128.4,129.6,128.3,129.5,128.1,129.3,127.9,129.2,127.8,129.1,127.6,128.9,127.4,128.8,128.7,127.1,128.6,127,128.5,126.9,128.4,126.7,128.3,126.6,128.2,126.5,128.1,126.4,128.1,126.3,128,126.2,127.9,126.1,127.8,126,127.7,125.8,127.7,125.7,127.6,125.5,127.6,125.4,127.5,125.3,127.5,125.2,127.5,125,127.5,124.9,127.5,124.8,127.5,124.7,127.5,124.6,127.5,124.5,127.5,124.3,127.4,124.2,127.4,124.1,127.3,123.9,127.3,123.8
Congo,Africa,1611000,73.5,1615000,86.9,2194000,66.7,2193000,83.5,130.4,128,130.5,128.2,130.6,128.3,130.6,128.4,130.7,128.6,130.8,128.7,130.8,128.8,130.9,128.9,130.9,129,130.9,129.1,130.9,129.1,131,129.2,131,131.1,129.4,131.1,129.4,131.2,129.5,131.3,129.6,131.3,129.6,131.4,129.7,131.5,129.8,131.5,129.8,131.6,129.9,131.6,129.9,131.7,129.9,131.7,130,131.7,130,131.7,130,131.7,130,131.7,129.9,131.7,129.9,131.7,129.9,131.6,129.8,131.6,129.7,131.5,129.7,131.5,129.6,131.4,129.5,131.3,129.4,131.3,129.3,131.2,129.1,131.1,129,131,128.9
Côte d'Ivoire,Africa,8610000,461.7,8077000,362.2,10409000,664,9992000,543.6,132.8,128,132.9,128.2,133,128.3,133.2,128.5,133.3,128.6,133.4,128.7,133.5,128.8,133.6,128.9,133.7,128.9,133.7,129,133.8,129,133.8,129,133.7,133.7,129,133.7,129,133.7,129,133.6,128.9,133.6,128.9,133.6,128.9,133.5,128.9,133.5,128.8,133.4,128.8,133.4,128.7,133.3,128.6,133.3,128.5,133.2,128.4,133.2,128.4,133.1,128.3,133.1,128.2,133,128.1,133,127.9,132.9,127.8,132.9,127.7,132.8,127.6,132.7,127.4,132.6,127.3,132.4,127.1,132.2,126.9,132,126.7,131.8,126.4,131.6,126.2
Djibouti,Africa,361000,16.7,357000,13.6,428000,17.5,424000,14.6,129.9,126.7,130,126.9,130.1,127,130.1,127.1,130.2,127.2,130.2,127.4,130.3,127.5,130.3,127.6,130.3,127.7,130.3,127.8,130.3,127.8,130.3,127.9,130.4,130.4,128.1,130.4,128.2,130.4,128.3,130.5,128.4,130.6,128.5,130.6,128.6,130.7,128.8,130.8,128.9,130.9,129,131,129.1,131.2,129.3,131.3,129.4,131.4,129.5,131.6,129.6,131.7,129.7,131.8,129.8,131.9,129.9,132,130.1,132.1,130.2,132.2,130.3,132.3,130.3,132.4,130.4,132.5,130.5,132.5,130.5,132.5,130.5,132.6,130.5,132.6,130.6,132.6,130.6
