country,region,year,gender,population,CVD,bloodpressure
Afghanistan,Asia,2000,Male,10347000,613.3,124.8
Afghanistan,Asia,2010,Male,14798000,762.1,126.1
Afghanistan,Asia,2000,Female,9747000,470.5,123
Afghanistan,Asia,2010,Female,14005000,631,124.6
Albania,Europe,2000,Male,1578000,126.4,132.3
Albania,Europe,2010,Male,1475000,156.3,134.9
Albania,Europe,2000,Female,1544000,85.5,128.5
Albania,Europe,2010,Female,1465000,113.8,129.3
Algeria,Africa,2000,Male,15803000,759.3,127.5
Algeria,Africa,2010,Male,18230000,713.6,127.7
Algeria,Africa,2000,Female,15381000,724.7,128.2
Algeria,Africa,2010,Female,17887000,685.2,125.8
Angola,Africa,2000,Male,8034000,328.2,130.3
Angola,Africa,2010,Male,11433000,315,130.8
Angola,Africa,2000,Female,8407000,341.3,127.9
Angola,Africa,2010,Female,11936000,323.1,128.5
Antigua and Barbuda,Americas,2000,Male,39000,2.3,127.1
Antigua and Barbuda,Americas,2010,Male,45000,2.3,128.3
Antigua and Barbuda,Americas,2000,Female,44000,2,121.2
Antigua and Barbuda,Americas,2010,Female,49000,2,122.3
Argentina,Americas,2000,Male,18131000,1200.7,128
Argentina,Americas,2010,Male,20164000,1120.1,128.2
Argentina,Americas,2000,Female,18926000,838.8,121
Argentina,Americas,2010,Female,21060000,860.7,120.5
Armenia,Asia,2000,Male,1441000,130.7,131.3
Armenia,Asia,2010,Male,1346000,134.5,132.4
Armenia,Asia,2000,Female,1629000,118.9,129.2
Armenia,Asia,2010,Female,1531000,110.2,128.7
Australia,Oceania,2000,Male,9512000,483.6,128
Australia,Oceania,2010,Male,11061000,419.4,125.2
Australia,Oceania,2000,Female,9554000,385.4,119.7
Australia,Oceania,2010,Female,11059000,337.4,116.7
Austria,Europe,2000,Male,3916000,325.5,130.8
Austria,Europe,2010,Male,4099000,265,128.7
Austria,Europe,2000,Female,4153000,327.1,124.4
Austria,Europe,2010,Female,4311000,254.1,121.6
Azerbaijan,Asia,2000,Male,3971000,361.4,128.6
Azerbaijan,Asia,2010,Male,4475000,387,129.6
Azerbaijan,Asia,2000,Female,4151000,305.5,126
Azerbaijan,Asia,2010,Female,4557000,309.5,126.1
Bahamas,Americas,2000,Male,145000,6.7,129
Bahamas,Americas,2010,Male,176000,8.8,128.9
Bahamas,Americas,2000,Female,153000,5.8,123.1
Bahamas,Americas,2010,Female,184000,6.8,121.6
