Country,Year,Cholesterol,Gender,Threshold
Afghanistan,2009,4.1,Male,5.2
Afghanistan,2008,4.1,Male,5.2
Afghanistan,2007,4.1,Male,5.2
Afghanistan,2006,4.1,Male,5.2
Afghanistan,2005,4.1,Male,5.2
Afghanistan,2004,4.2,Male,5.2
Afghanistan,2003,4.2,Male,5.2
Afghanistan,2002,4.2,Male,5.2
Afghanistan,2001,4.2,Male,5.2
Afghanistan,2000,4.2,Male,5.2
Afghanistan,1999,4.3,Male,5.2
Afghanistan,1998,4.3,Male,5.2
Afghanistan,1997,4.3,Male,5.2
Afghanistan,1996,4.3,Male,5.2
Afghanistan,1995,4.3,Male,5.2
Afghanistan,1994,4.4,Male,5.2
Afghanistan,1993,4.4,Male,5.2
Afghanistan,1992,4.5,Male,5.2
Afghanistan,1991,4.5,Male,5.2
Afghanistan,1990,4.5,Male,5.2
Afghanistan,1989,4.5,Male,5.2
Afghanistan,1988,4.5,Male,5.2
Afghanistan,1987,4.6,Male,5.2
Afghanistan,1986,4.6,Male,5.2
Afghanistan,1985,4.6,Male,5.2
Afghanistan,1984,4.6,Male,5.2
Afghanistan,1983,4.6,Male,5.2
Afghanistan,1982,4.6,Male,5.2
Afghanistan,1981,4.6,Male,5.2
Afghanistan,1980,4.6,Male,5.2
Afghanistan,2009,4.2,Female,5.2
Afghanistan,2008,4.2,Female,5.2
Afghanistan,2007,4.3,Female,5.2
Afghanistan,2006,4.3,Female,5.2
Afghanistan,2005,4.3,Female,5.2
Afghanistan,2004,4.3,Female,5.2
Afghanistan,2003,4.3,Female,5.2
Afghanistan,2002,4.3,Female,5.2
Afghanistan,2001,4.3,Female,5.2
Afghanistan,2000,4.3,Female,5.2
Afghanistan,1999,4.4,Female,5.2
Afghanistan,1998,4.4,Female,5.2
Afghanistan,1997,4.4,Female,5.2
Afghanistan,1996,4.4,Female,5.2
Afghanistan,1995,4.4,Female,5.2
Afghanistan,1994,4.5,Female,5.2
Afghanistan,1993,4.5,Female,5.2
Afghanistan,1992,4.5,Female,5.2
Afghanistan,1991,4.5,Female,5.2
Afghanistan,1990,4.6,Female,5.2
Afghanistan,1989,4.6,Female,5.2
Afghanistan,1988,4.6,Female,5.2
Afghanistan,1987,4.6,Female,5.2
Afghanistan,1986,4.6,Female,5.2
Afghanistan,1985,4.6,Female,5.2
Afghanistan,1984,4.6,Female,5.2
Afghanistan,1983,4.6,Female,5.2
Afghanistan,1982,4.6,Female,5.2
Afghanistan,1981,4.7,Female,5.2
Afghanistan,1980,4.7,Female,5.2
Albania,2009,4.9,Male,5.2
Albania,2008,4.9,Male,5.2
Albania,2007,4.9,Male,5.2
Albania,2006,4.9,Male,5.2
Albania,2005,4.9,Male,5.2
Albania,2004,4.9,Male,5.2
Albania,2003,4.9,Male,5.2
Albania,2002,4.9,Male,5.2
Albania,2001,4.9,Male,5.2
Albania,2000,4.9,Male,5.2
Albania,1999,4.9,Male,5.2
Albania,1998,4.9,Male,5.2
Albania,1997,4.9,Male,5.2
