Country,Physical_inactivity,Overweight,Obese,Region
Afghanistan,25,19.3,4,Asia
Albania,25,53.3,18.2,Europe
Algeria,33.6,57.4,23.3,Africa
Andorra,38.4,62.5,24.4,Europe
Angola,25,23.6,6.2,Africa
Antigua and Barbuda,25,44.7,16.2,Americas
Argentina,41.6,59.7,25.3,Americas
Armenia,22.6,51.3,17.5,Asia
Australia,30.4,61.7,25.6,Oceania
Austria,30.1,51.8,17.6,Europe
Azerbaijan,25,49.6,16.6,Asia
Bahamas,43.3,61.3,28.5,Americas
Bahrain,25,62.4,26.6,Asia
Bangladesh,27.8,16.4,2.5,Asia
Barbados,42.9,48.6,19.8,Americas
Belarus,14.1,56.8,22.3,Europe
Belgium,35.7,57.8,20.1,Europe
Belize,25,51.2,21,Americas
Benin,15.9,26.1,7.6,Africa
Bhutan,23,22.7,4.6,Asia
Bolivia,25,52.4,17.4,Americas
Bosnia and Herzegovina,25.5,50.2,15.6,Europe
Botswana,21.7,40.4,16.9,Africa
Brazil,47,52.7,19.2,Americas
Brunei Darussalam,27.3,36.2,11.1,Asia
Bulgaria,38.6,58.9,22.4,Europe
Burkina Faso,20.3,19.5,4,Africa
Burundi,25,19.1,4,Africa
Cabo Verde,19.7,31,9.6,
Cambodia,10.5,18.3,2.7,Asia
Cameroon,28.5,29.8,9,Africa
Canada,28.6,61.2,26,Americas
Central African Republic,14.3,23,5.9,Africa
Chad,23.3,20.2,4.7,Africa
Chile,26.6,60,25.1,Americas
China,14.1,27.8,4.4,Asia
Colombia,44,55.6,19.5,Americas
Comoros,14.3,24.1,6.2,Africa
Congo,28,27.4,7.7,Africa
Cook Islands,18.5,82.7,52.6,Oceania
Costa Rica,46.1,56.7,21.4,Americas
Croatia,31.1,56.4,21.6,Europe
Cuba,36.9,55,21.7,Americas
Cyprus,44.4,56.9,19.8,Asia
Czechia,31.1,60.2,23.9,Europe
Denmark,28.5,53.3,17.4,Europe
Djibouti,25,35.9,11.8,Africa
Dominica,21.6,56.4,24.5,Americas
Dominican Republic,39,55.7,23,Americas
Ecuador,27.2,52.5,17.2,Americas
Egypt,31,59.5,28,Africa
El Salvador,25,56,21.1,Americas
Equatorial Guinea,25,23.6,6.3,Africa
Eritrea,22.4,19,3.7,Africa
Estonia,32,53.8,19.6,Europe
Eswatini,28,35.1,14.1,Africa
Ethiopia,14.9,18,3.3,Africa
Fiji,17.4,60.1,26.5,Oceania
Finland,16.6,55.9,20,Europe
France,29.3,56.8,19.3,Europe
Gabon,25.3,36.8,12.8,Africa
Gambia,21.1,27.7,8,Africa
Georgia,18,50.1,18.2,Asia
Germany,42.2,54.6,19.9,Europe
Ghana,21.8,28.3,8.7,Africa
Greece,37.7,59.7,22.4,Europe
Grenada,28.7,47.4,18.1,Americas
Guatemala,37.1,51.8,17.8,Americas
Guinea,14.5,23.3,5.9,Africa
Guinea-Bissau,25,25.9,7.2,Africa
