,Both sexes,Male,Female
Algeria,84.6,75.9,92.4
Antigua and Barbuda,78.3,72.4,83.3
Argentina,83.1,78,87.7
Armenia,76.6,73,79.8
Australia,83.9,78,91.5
Austria,75.4,65.6,84.9
Bahamas,84.8,81,87.9
Barbados,81.8,75.3,86.7
Belgium,82.5,77.5,87.5
Belize,78.9,75.1,82.2
Benin,74.1,72.8,76.8
Bolivia (Plurinational State of),85.9,83.2,88.8
Botswana,88.1,87.3,88.7
Brazil,86.7,82,91.4
Brunei Darussalam,88.1,80.6,94.6
Bulgaria,74.1,68.3,79.9
Cambodia,93.4,91.6,94.8
Canada,77.3,73,81.4
Chile,85.2,79.6,90.6
China,83.8,79.4,87.9
Colombia,85.2,83.4,86.7
Cook Islands,80.8,76.4,84.6
Costa Rica,81.9,75.3,88.1
Croatia,79.3,72.6,85.4
Czechia,76.9,72.9,80.6
Denmark,88.3,87.1,89.4
Djibouti,84.6,81.3,89.1
Dominica,83.9,82.9,84.7
Ecuador,89.8,85.9,93.4
Egypt,87.3,80.6,92.9
El Salvador,86.6,83.7,90.1
Estonia,86,82.7,89
Fiji,86.6,84.2,89.4
Finland,77,68.2,85.3
France,88.1,84.4,91.7
Germany,83.1,77.9,88.1
Ghana,87.9,87.5,88.3
Greece,85.9,81.9,89.7
Grenada,84.9,82.6,86.7
Guatemala,84.8,80.9,88
Guyana,84.5,81.9,86.5
Honduras,83.9,80.3,87.3
Hungary,80.8,74.4,86.5
Iceland,83.8,79.4,88.3
India,70.5,69.6,71.6
Indonesia,83.7,84.3,83.1
Iraq,85.1,80.3,91.4
Ireland,71.6,64.6,79.6
Israel,84.6,77.8,89.5
Italy,91.8,91,92.6
Jordan,85.2,82.3,88.9
Kenya,87.4,85.7,88.9
Kiribati,82.2,78,85.5
Kuwait,84.9,77,92.9
Latvia,79.7,77,82.3
Lebanon,76.7,69.4,83.2
Libya,84,78.2,88.2
Lithuania,83.4,80.6,86.4
Luxembourg,77.6,73.4,81.8
Malaysia,85.8,80.1,91.5
Maldives,80,76.7,82.6
Malta,81.4,78.2,84.5
Mauritania,88,83.1,92.3
Mauritius,81.1,74.2,86.8
Mongolia,74.7,69.4,79.4
Morocco,86.6,84.2,89.4
Myanmar,83.8,81.1,86.4
Namibia,86,85,86.8
Nauru,88.6,83,90.8
Netherlands,81.1,77.8,84.3
Niue,89,89.3,88.6
Norway,85,78.9,91.2
Oman,84.7,77.9,90.2
Pakistan,88.2,87.3,91.1
Palau,76.3,74.1,78.2
Peru,84.9,83.8,85.9
Philippines,90.8,89.6,91.7
Poland,79.6,74.7,84.2
Portugal,86.7,81.5,91.2
Qatar,90.1,88.3,91.6
Republic of Korea,94.8,91.9,97.8
Romania,80.7,73.2,88.1
Russian Federation,87.5,84.1,90.7
Saint Kitts and Nevis,82.2,78,85.5
Saint Lucia,84.8,83.8,85.5
Saint Vincent and the Grenadines,86.6,84.4,88.6
Samoa,87.8,89.3,86.7
Senegal,89.2,85.6,93.6
Seychelles,82.1,76.6,86.8
Singapore,89.9,87.9,91.9
Slovakia,77.4,72.9,81.6
Slovenia,79.8,74.7,85
Solomon Islands,83.2,81.6,85
Spain,77.2,69.7,84.3
Sri Lanka,85.9,82.6,88.4
Sudan,91.9,91.2,92.3
Suriname,80.9,77.9,83.9
Sweden,86.1,83.3,88.9
Switzerland,88,84.8,91.2
Syrian Arab Republic,89.6,85.5,92.3
Thailand,84.4,78.3,90.2
The former Yugoslav republic of Macedonia,77.1,70.9,83.3
Tonga,86.1,88.6,84.2
Trinidad and Tobago,81.5,78.2,85.1
Tunisia,81.4,74.1,88.2
Turkey,82.2,77.1,86.9
Tuvalu,88.3,86.6,89.9
Uganda,85.6,84.7,86.6
Ukraine,77.2,70.4,83.4
United Arab Emirates,82.6,77.5,86
United Kingdom of Great Britain and Northern Ireland,79,72.7,84.9
United Republic of Tanzania,80.4,75.5,84.9
United States of America,72.6,63.1,82.2
Uruguay,84.2,76.6,90.8
Vanuatu,89.2,88.3,89.9
Venezuela (Bolivarian Republic of),91.8,87.1,95.5
Viet Nam,86.7,82.1,90.8
Yemen,84.3,82.5,87.7
Zambia,90.1,91.5,88.8
Zimbabwe,87.2,85.5,88.6
