Country,Both sexes,Male,Female
Afghanistan,4,3.5,4.5
Albania,12,11.3,12.6
Algeria,8.6,7.6,9.6
Andorra,25.5,26.7,24.1
Angola,6.6,5.8,7.3
Antigua and Barbuda,11.1,9.3,12.7
Argentina,14.6,13.8,15.1
Armenia,10.1,8.9,11
Australia,16.1,14.8,17.3
Austria,19.4,19.6,18.9
Azerbaijan,7.8,6.7,8.7
Bahamas,15.4,13.1,17.2
Bahrain,15.8,14.6,17.3
Bangladesh,5,4.4,5.5
Barbados,10.9,8.9,12.5
Belarus,15.3,13.9,15.8
Belgium,21.6,22.2,20.8
Belize,7.5,5.9,9.1
Benin,3.5,2.9,3.9
Bhutan,6.2,6,6.3
Bolivia (Plurinational State of),8.3,7.1,9.3
Bosnia and Herzegovina,9.4,8.5,10.1
Botswana,9.1,7.8,10
Brazil,12,10.6,13
Brunei Darussalam,16.7,15.7,18.1
Bulgaria,14.2,13.5,14.5
Burkina Faso,3.1,2.5,3.5
Burundi,3.4,2.7,3.9
Cabo Verde,4.5,3.9,4.8
Cambodia,5.8,4.6,6.6
Cameroon,4,3.2,4.8
Canada,16.2,14.8,17.3
Central African Republic,4.2,3.4,4.8
Chad,3.1,2.5,3.6
Chile,12.9,12.1,13.4
China,7.2,5.9,8.4
Colombia,10,8.7,11.1
Comoros,4.5,3.9,5.1
Congo,6.1,5,6.9
Cook Islands,19.9,19,20.6
Costa Rica,10.2,8.1,12.2
C™te d'Ivoire,3.8,3.1,4.5
Croatia,14.3,13.1,14.9
Cuba,6.9,5.2,8.5
Cyprus,17.7,17.8,17.7
Czechia,15.5,14.7,15.7
Democratic People's Republic of Korea,5.3,4.2,6.1
Democratic Republic of the Congo,2.8,2.2,3.4
Denmark,25.5,26,24.6
Djibouti,8.4,7.9,8.8
Dominica,9.3,6,12.2
Dominican Republic,7.1,5.2,8.9
Ecuador,9.6,8.4,10.8
Egypt,9.2,6.5,11.7
El Salvador,7.8,6.1,9.2
Equatorial Guinea,10.5,9.4,11.4
Eritrea,3.9,3.5,4.2
Estonia,18.5,17,19.3
Eswatini,6.8,5.6,7.6
Ethiopia,3.9,3.5,4.2
Fiji,15.4,16.3,14.3
Finland,19.7,16.4,21.7
France,20.6,20.2,20.7
Gabon,11,9.5,12.4
